From_Station,From_Country,To_Station,To_Country,Fare_Rate
Ede Centrum,NL,Maastricht,NL,72
Eindhoven Centraal,NL,Maastricht,NL,98
Enschede,NL,Maastricht,NL,133
Groningen,NL,Maastricht,NL,233
Haarlem,NL,Maastricht,NL,168
Heerlen,NL,Maastricht,NL,26
Hilversum,NL,Maastricht,NL,120
Leiden Centraal,NL,Maastricht,NL,161
Leeuwarden,NL,Maastricht,NL,222
Maarn,NL,Maastricht,NL,91
Nijmegen,NL,Maastricht,NL,72
Rheden,NL,Maastricht,NL,61
Rotterdam Centraal,NL,Maastricht,NL,167
Tilburg,NL,Maastricht,NL,135
Utrecht Centraal,NL,Maastricht,NL,111
Vlissingen,NL,Maastricht,NL,255
Zwolle,NL,Maastricht,NL,127
Arnhem Centraal,NL,Nijmegen,NL,19
Amersfoort Centraal,NL,Nijmegen,NL,70
Breda,NL,Nijmegen,NL,86
Bunnik,NL,Nijmegen,NL,69
Driebergen-Zeist,NL,Nijmegen,NL,65
Diemen,NL,Nijmegen,NL,108
Dronten,NL,Nijmegen,NL,127
Delft,NL,Nijmegen,NL,136
Deventer,NL,Nijmegen,NL,64
Ede-Wageningen,NL,Nijmegen,NL,36
Ede Centrum,NL,Nijmegen,NL,38
Eindhoven Centraal,NL,Nijmegen,NL,75
Enschede,NL,Nijmegen,NL,101
Groningen,NL,Nijmegen,NL,201
Haarlem,NL,Nijmegen,NL,134
Heerlen,NL,Nijmegen,NL,46
Hilversum,NL,Nijmegen,NL,86
Leiden Centraal,NL,Nijmegen,NL,127
Leeuwarden,NL,Nijmegen,NL,190
Maarn,NL,Nijmegen,NL,57
Rheden,NL,Nijmegen,NL,29
Rotterdam Centraal,NL,Nijmegen,NL,122
Tilburg,NL,Nijmegen,NL,65
Utrecht Centraal,NL,Nijmegen,NL,77
Vlissingen,NL,Nijmegen,NL,185
Zwolle,NL,Nijmegen,NL,95
Arnhem Centraal,NL,Rheden,NL,10
Amersfoort Centraal,NL,Rheden,NL,61
Breda,NL,Rheden,NL,115
Bunnik,NL,Rheden,NL,60
Driebergen-Zeist,NL,Rheden,NL,56
Diemen,NL,Rheden,NL,99
Dronten,NL,Rheden,NL,98
Delft,NL,Rheden,NL,137
Deventer,NL,Rheden,NL,35
Ede-Wageningen,NL,Rheden,NL,27
Ede Centrum,NL,Rheden,NL,29
Eindhoven Centraal,NL,Rheden,NL,104
Enschede,NL,Rheden,NL,72
Groningen,NL,Rheden,NL,172
Haarlem,NL,Rheden,NL,125
Heerlen,NL,Rheden,NL,35
Hilversum,NL,Rheden,NL,77
Leiden Centraal,NL,Rheden,NL,118
Leeuwarden,NL,Rheden,NL,161
Maarn,NL,Rheden,NL,48
Nijmegen,NL,Rheden,NL,29
